solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,mpi_mode,solution_sum,solution_l2,solution_linf,sample_z0,sample_zmid,sample_zlast,expected_value,max_abs_error_to_expected
tdma,fortran-original,1,64,64,2048,4096,2048,2048,device,  8.3886080000000000E+06,  2.8963093757400989E+03,  1.0000000000006197E+00,  9.9999999999999967E-01,  1.0000000000005580E+00,  1.0000000000000020E+00,  1.0000000000000000E+00,  6.1972649234576238E-13
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,device,8388608,2896.309375740099,1.00000000000062,0.9999999999999997,1.000000000000558,1.000000000000002,1,6.197264923457624e-13
tdma,fortran-original,1,128,128,2048,16384,2048,2048,device,  3.3554432000000000E+07,  5.7926187514801977E+03,  1.0000000000006197E+00,  9.9999999999999967E-01,  1.0000000000005580E+00,  1.0000000000000020E+00,  1.0000000000000000E+00,  6.1972649234576238E-13
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,device,33554432,5792.618751480198,1.00000000000062,0.9999999999999997,1.000000000000558,1.000000000000002,1,6.197264923457624e-13
tdma,fortran-original,1,128,128,4096,16384,4096,4096,device,  6.7108864000000015E+07,  8.1920000000000000E+03,  1.0000000000047724E+00,  1.0000000000000020E+00,  1.0000000000047660E+00,  1.0000000000000013E+00,  1.0000000000000000E+00,  4.7724046936536979E-12
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,device,67108864.00000001,8192,1.000000000004772,1.000000000000002,1.000000000004766,1.000000000000001,1,4.772404693653698e-12
tdma,fortran-original,2,64,64,2048,4096,1024,1024,device,  8.3886079999999981E+06,  2.8963093757400975E+03,  1.0000000000000566E+00,  9.9999999999999911E-01,  9.9999999999996636E-01,  1.0000000000000007E+00,  1.0000000000000000E+00,  2.9454216843305403E-13
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,device,8388607.999999999,2896.309375740098,1.000000000000057,0.9999999999999991,0.9999999999999664,1.000000000000001,1,2.94542168433054e-13
tdma,fortran-original,2,128,128,2048,16384,1024,1024,device,  3.3554431999999993E+07,  5.7926187514801959E+03,  1.0000000000000566E+00,  9.9999999999999911E-01,  9.9999999999996636E-01,  1.0000000000000007E+00,  1.0000000000000000E+00,  2.9454216843305403E-13
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,device,33554432,5792.618751480197,1.000000000000057,0.9999999999999991,0.9999999999999664,1.000000000000001,1,2.94542168433054e-13
tdma,fortran-original,2,128,128,4096,16384,2048,2048,device,  6.7108864000003815E+07,  8.1920000000009313E+03,  1.0000000000019325E+00,  1.0000000000000004E+00,  1.0000000000017957E+00,  1.0000000000000029E+00,  1.0000000000000000E+00,  1.9324541966625475E-12
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,device,67108864.00000003,8192.000000000007,1.000000000001932,1,1.000000000001796,1.000000000000003,1,1.932454196662547e-12
tdma,fortran-original,4,64,64,2048,4096,512,512,device,  8.3886079999965141E+06,  2.8963093757375495E+03,  9.9999999999999778E-01,  9.9999999999999778E-01,  9.9999999999866407E-01,  9.9999999999999700E-01,  1.0000000000000000E+00,  1.3418155475619642E-12
tdma,cuda-cxx,4,64,64,2048,4096,512,512,device,8388607.999999931,2896.309375740051,0.9999999999999978,0.9999999999999978,0.9999999999986641,0.999999999999997,1,1.341926569864427e-12
tdma,fortran-original,4,128,128,2048,16384,512,512,device,  3.3554431999993026E+07,  5.7926187514777912E+03,  9.9999999999999778E-01,  9.9999999999999778E-01,  9.9999999999866407E-01,  9.9999999999999700E-01,  1.0000000000000000E+00,  1.3418155475619642E-12
tdma,cuda-cxx,4,128,128,2048,16384,512,512,device,33554431.99999993,5792.618751480173,0.9999999999999978,0.9999999999999978,0.9999999999986641,0.999999999999997,1,1.341926569864427e-12
tdma,fortran-original,4,128,128,4096,16384,1024,1024,device,  6.7108863999999970E+07,  8.1919999999999936E+03,  1.0000000000000608E+00,  9.9999999999999911E-01,  9.9999999999993028E-01,  1.0000000000000009E+00,  1.0000000000000000E+00,  3.4627856138058632E-13
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,device,67108863.99999999,8191.999999999999,1.000000000000061,0.9999999999999991,0.9999999999999303,1.000000000000001,1,3.461675390781238e-13
