solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg
tdma,fortran-original,1,64,64,2048,4096,2048,2048,0,10,device,  3.4771080000000000E-03,  3.4771080000000000E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,1,10,device,  3.0283339999999997E-03,  3.0283339999999997E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,2,10,device,  3.0211940000000005E-03,  3.0211940000000005E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,3,10,device,  3.0265420000000001E-03,  3.0265420000000001E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,4,10,device,  3.0355849999999986E-03,  3.0355849999999986E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,5,10,device,  3.0245589999999996E-03,  3.0245589999999996E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,6,10,device,  3.0303069999999994E-03,  3.0303069999999994E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,7,10,device,  3.0333919999999993E-03,  3.0333919999999993E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,8,10,device,  3.0286250000000001E-03,  3.0286250000000001E-03
tdma,fortran-original,1,64,64,2048,4096,2048,2048,9,10,device,  3.0161060000000010E-03,  3.0161060000000010E-03
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,0,10,host,0.00286587,0.00286587
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,1,10,host,0.002593772,0.002593772
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,2,10,host,0.002598289,0.002598289
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,3,10,host,0.002608454,0.002608454
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,4,10,host,0.002598679,0.002598679
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,5,10,host,0.002589647,0.002589647
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,6,10,host,0.002602916,0.002602916
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,7,10,host,0.002604909,0.002604909
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,8,10,host,0.002613913,0.002613913
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,9,10,host,0.002596346,0.002596346
tdma,fortran-original,1,128,128,2048,16384,2048,2048,0,10,device,  3.6727010000000000E-03,  3.6727010000000000E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,1,10,device,  3.2935930000000005E-03,  3.2935930000000005E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,2,10,device,  3.2860810000000006E-03,  3.2860810000000006E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,3,10,device,  3.3063010000000011E-03,  3.3063010000000011E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,4,10,device,  3.2951249999999994E-03,  3.2951249999999994E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,5,10,device,  3.2935229999999996E-03,  3.2935229999999996E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,6,10,device,  3.2985700000000007E-03,  3.2985700000000007E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,7,10,device,  3.3000619999999994E-03,  3.3000619999999994E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,8,10,device,  3.3032269999999989E-03,  3.3032269999999989E-03
tdma,fortran-original,1,128,128,2048,16384,2048,2048,9,10,device,  3.2931309999999978E-03,  3.2931309999999978E-03
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,0,10,host,0.003082816,0.003082816
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,1,10,host,0.002853722,0.002853722
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,2,10,host,0.002843317,0.002843317
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,3,10,host,0.002844519,0.002844519
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,4,10,host,0.002843207,0.002843207
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,5,10,host,0.002858329,0.002858329
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,6,10,host,0.002854954,0.002854954
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,7,10,host,0.002850187,0.002850187
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,8,10,host,0.002849396,0.002849396
tdma,cuda-cxx,1,128,128,2048,16384,2048,2048,9,10,host,0.002851729,0.002851729
tdma,fortran-original,1,128,128,4096,16384,4096,4096,0,10,device,  6.9006060000000001E-03,  6.9006060000000001E-03
tdma,fortran-original,1,128,128,4096,16384,4096,4096,1,10,device,  6.5295680000000004E-03,  6.5295680000000004E-03
