solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,256,256,4096,65536,512,512,0,10,device,0.210282907,0.21013640125,0.001402464,8.033e-05,0.203430434,9.7567e-05,6.1783e-05,2.4888e-05,0.008640206,2.9194e-05,0.00036643,0.001803907,0.208267713,0.000229314
tdma,cuda-cxx,8,256,256,4096,65536,512,512,1,10,device,0.001975274,0.001964929875,0.001134523,6.9644e-05,0.000211167,6.8102e-05,2.0971e-05,2.3795e-05,8.7211e-05,2.4527e-05,0.000349585,0.001501434,0.000296796,0.000185938
tdma,cuda-cxx,8,256,256,4096,65536,512,512,2,10,device,0.001790136,0.001783258625,0.001127362,6.7862e-05,5.9379e-05,6.631e-05,1.9309e-05,2.3486e-05,6.1132e-05,2.4256e-05,0.000348032,0.00149268,0.000118177,0.000181281
tdma,cuda-cxx,8,256,256,4096,65536,512,512,3,10,device,0.002324318,0.002303372875,0.001532489,0.000134562,0.000567552,6.8373e-05,2.0841e-05,2.3625e-05,9.1978e-05,2.4476e-05,0.0003668,0.001901853,0.000640712,0.000247582
tdma,cuda-cxx,8,256,256,4096,65536,512,512,4,10,device,0.001802395,0.001783877375,0.001125399,6.8743e-05,6.3826e-05,6.6671e-05,1.8969e-05,2.3585e-05,6.658e-05,2.4096e-05,0.000349384,0.001492379,0.000127952,0.000182543
tdma,cuda-cxx,8,256,256,4096,65536,512,512,5,10,device,0.001790226,0.00178311725,0.001128143,6.8673e-05,6.4106e-05,6.626e-05,1.9049e-05,2.3875e-05,5.7977e-05,2.4317e-05,0.000352609,0.001496356,0.000119299,0.000182394
tdma,cuda-cxx,8,256,256,4096,65536,512,512,6,10,device,0.001792761,0.001784934875,0.001129094,6.9394e-05,6.9164e-05,6.639e-05,1.8968e-05,2.3936e-05,5.4212e-05,2.4407e-05,0.000350837,0.001496126,0.000121332,0.000182485
tdma,cuda-cxx,8,256,256,4096,65536,512,512,7,10,device,0.001790907,0.001780713625,0.001124538,6.9484e-05,5.8869e-05,6.668e-05,1.8999e-05,2.4026e-05,5.9109e-05,2.4417e-05,0.000350867,0.001494404,0.000116805,0.000183204
tdma,cuda-cxx,8,256,256,4096,65536,512,512,8,10,device,0.001782505,0.001776752625,0.001125659,6.9434e-05,5.8368e-05,6.662e-05,1.9298e-05,2.4267e-05,5.4963e-05,2.4296e-05,0.000349564,0.00149252,0.000112308,0.000183935
tdma,cuda-cxx,8,256,256,4096,65536,512,512,9,10,device,0.001784929,0.00177683025,0.001127142,6.8172e-05,5.7807e-05,6.68e-05,1.9098e-05,2.3776e-05,5.8969e-05,2.4467e-05,0.000348814,0.001493651,0.000111368,0.000182753
